                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.66373,                 1.2625,                 1.1583,                0.94981,                0.38333,                0.57537,                0.43476,                 1.7126,                 2.4155,                 1.5395,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.71773,                 1.6236,                 1.3033,                0.94981,                0.38333,                0.57537,                0.43476,                 1.7126,                 2.4155,                 1.5395,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 0.7542,                 1.6985,                 1.1443,                0.95024,                0.38333,                0.57532,                0.43477,                 1.7011,                 2.4439,                 1.5229,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.60598,                 1.1583,                 1.0863,                0.95024,                0.38333,                0.57532,                0.43477,                 1.7011,                 2.4439,                 1.5229,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.72325,                 1.3313,                 1.0966,                 0.9484,                0.38333,                0.57549,                0.43489,                 1.7042,                 2.4878,                 1.5401,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.89936,                 1.7563,                 1.3348,                 0.9484,                0.38333,                0.57549,                0.43489,                 1.7042,                 2.4878,                 1.5401,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.5347,                 1.8641,                 1.8177,                0.94923,                0.38333,                0.57701,                0.43493,                 1.7308,                 2.5364,                 1.5647,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.98971,                 1.3968,                 1.3494,                0.94923,                0.38333,                0.57701,                0.43493,                 1.7308,                 2.5364,                 1.5647,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.79388,                 1.3223,                 1.1507,                0.94885,                0.38333,                0.57733,                0.45173,                 1.7393,                 2.5585,                 1.5766,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.85717,                 1.7772,                 1.2977,                0.94885,                0.38333,                0.57733,                0.45173,                 1.7393,                 2.5585,                 1.5766,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 0.8296,                 1.6055,                  1.255,                0.94839,                0.38333,                0.58138,                0.46155,                  1.729,                 2.5377,                 1.5739,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.81552,                 1.1716,                 1.3039,                0.94839,                0.38333,                0.58138,                0.46155,                  1.729,                 2.5377,                 1.5739,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.74224,                 1.7457,                 1.3171,                0.94577,                0.37781,                0.58283,                0.46081,                 1.7287,                 2.5183,                 1.5677,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.93723,                 1.1817,                 1.4015,                0.94577,                0.37781,                0.58283,                0.46081,                 1.7287,                 2.5183,                 1.5677,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.88472,                 1.4362,                 1.2368,                0.93956,                0.37258,                 0.5842,                 0.4769,                 1.7504,                 2.5081,                 1.5754,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.97138,                 1.4756,                  1.452,                0.93956,                0.37258,                 0.5842,                 0.4769,                 1.7504,                 2.5081,                 1.5754,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.74969,                0.82758,                 1.2493,                0.92298,                 0.3722,                0.50198,                0.39558,                 1.6865,                 2.4107,                  1.492,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.0384,                 1.2618,                   1.41,                0.92298,                 0.3722,                0.50198,                0.39558,                 1.6865,                 2.4107,                  1.492,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.95359,                 1.2885,                 1.2603,                0.93807,                0.37142,                0.50305,                0.39423,                 1.6831,                 2.3588,                 1.4855,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 1.0568,                 1.3894,                 1.3747,                0.93807,                0.37142,                0.50305,                0.39423,                 1.6831,                 2.3588,                 1.4855,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.85064,                 1.3015,                 1.3018,                0.93807,                0.37142,                0.50305,                0.39423,                 1.6831,                 2.3588,                 1.4855,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 0.7389,                 1.0212,                 1.1881,                0.93629,                0.37151,                0.50191,                0.38704,                 1.6961,                 2.4119,                 1.5056,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.69018,                 1.6281,                 1.2501,                0.93629,                0.37151,                0.50191,                0.38704,                 1.6961,                 2.4119,                 1.5056,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.55077,                 0.7554,                0.99268,                0.93629,                0.37151,                0.50191,                0.38704,                 1.6961,                 2.4119,                 1.5056,             2.9812e-05,             2.9812e-05,             2.9812e-05
